A	B	C	D	E	y
-1	-1	-1	-1	-1	8.11
1	-1	-1	-1	-1	5.56
-1	1	-1	-1	-1	5.77
1	1	-1	-1	-1	5.82
-1	-1	1	-1	-1	9.17
1	-1	1	-1	-1	7.8
-1	1	1	-1	-1	3.23
1	1	1	-1	-1	5.69
-1	-1	-1	1	-1	8.82
1	-1	-1	1	-1	14.23
-1	1	-1	1	-1	9.2
1	1	-1	1	-1	8.94
-1	-1	1	1	-1	8.68
1	-1	1	1	-1	11.49
-1	1	1	1	-1	6.25
1	1	1	1	-1	9.12
-1	-1	-1	-1	1	7.93
1	-1	-1	-1	1	5
-1	1	-1	-1	1	7.47
1	1	-1	-1	1	12
-1	-1	1	-1	1	9.86
1	-1	1	-1	1	3.65
-1	1	1	-1	1	6.4
1	1	1	-1	1	11.61
-1	-1	-1	1	1	12.43
1	-1	-1	1	1	17.55
-1	1	-1	1	1	8.87
1	1	-1	1	1	25.38
-1	-1	1	1	1	13.06
1	-1	1	1	1	18.85
-1	1	1	1	1	11.78
1	1	1	1	1	26.05
